year,grade,step,locality_code,annual_rate,source_url
2025,01,01,,22886,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,02,,23645,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,03,,24400,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,04,,25151,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,05,,25906,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,06,,26337,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,07,,27088,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,08,,27843,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,09,,27875,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,01,10,,28590,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,01,,25733,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,02,,26344,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,03,,27190,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,04,,27875,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,05,,28182,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,06,,28999,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,07,,29812,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
2025,02,08,,30625,https://www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2025/general-schedule/
