locality_code,year,county_fips,inclusion_type,locality_name
DCB,2026,11001,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24003,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24005,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24009,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24013,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24017,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24021,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24025,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24027,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24031,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24033,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24035,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24037,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,24510,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51013,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51043,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51047,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51059,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51061,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51099,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51107,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51153,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51157,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51177,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51179,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51187,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51510,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51600,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51610,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51630,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51683,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,51685,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,54003,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,54037,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,42001,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,42055,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
DCB,2026,42133,core,Washington-Baltimore-Arlington DC-MD-VA-WV-PA
